Date,Ticker,Shares Bought,Buy Price,Cost Basis,PnL,Reason
2025-09-08 06:30:00 PDT,CTRN,9.2961,37.65,350.0,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,VEE.TO,2.4987,43.37,108.38,0.0,MANUAL BUY MOO - Filled
2025-09-08 06:30:00 PDT,GMIN.TO,19.9661,22.54,450.0,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,CRWD,0.7261,427.93,310.72,0.0,MANUAL BUY MOO - Filled
2025-09-10 12:13:00 PDT,PLTR,3.1406,165.15,518.66,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,SMH,2.6624,300.48,799.99,0.0,MANUAL BUY MOO - Filled
2025-09-10 06:30:00 PDT,XMA.TO,45.9667,33.72,1550.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,HLIT.TO,29.4502,15.28,450.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,WEB.V,227.2727,2.2,500.0,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-10 06:30:00 PDT,ZCH.TO,16.1837,21.63,350.05,0.0,MANUAL BUY MARKET OPEN - Filled
2025-09-12 06:30:00 PDT,HLIT.TO,29.4502,14.41,450.00,-25.621674,Limit sell order
